threshold,precision,recall,f1,specificity,balanced_accuracy,business_cost,false_negatives,false_positives
0.1,0.2219570405727923,0.9984931248822754,0.3631816936146889,0.0058316836980364,0.5021624042901559,18622,8,18582
0.15,0.2340368569006291,0.9879449990582032,0.3784271284271284,0.0815900700872077,0.5347675345727054,17486,64,17166
0.2,0.2553690939966037,0.9630815596157468,0.4036950771781611,0.2023433738162752,0.5827124667160111,15889,196,14909
0.25,0.282714335300243,0.9205123375400264,0.4325735782252711,0.3366326039270237,0.6285724707335251,14509,422,12399
0.3,0.316925853929464,0.8598606140516105,0.4631461472124993,0.4735969183029265,0.6667287661772685,13559,744,9839
0.3500000000000001,0.3557969784416907,0.7896025616877002,0.4905505821777544,0.5939222085495693,0.6917623851186347,13175,1117,7590
0.4000000000000001,0.4013691416535018,0.7178376342060652,0.5148608484193461,0.6958964207372532,0.7068670274716592,13174,1498,5684
0.45,0.4428248303593868,0.6637784893576945,0.5312429335946333,0.762773527366112,0.7132760083619032,13359,1785,4434
0.5000000000000001,0.4810163551401869,0.6204558297231118,0.5419100106934277,0.8098550104328286,0.7151554200779702,13629,2015,3554
0.5500000000000002,0.5141700404858299,0.5741194198530797,0.5424935481000267,0.8459151463271093,0.7100172830900945,14185,2261,2880
0.6000000000000002,0.5541338582677166,0.5302316820493501,0.5419193377610935,0.8788186827885078,0.7045251824189289,14735,2494,2265
0.6500000000000001,0.5881282692745053,0.487097381804483,0.5328662682876572,0.9031084479161092,0.6951029148602962,15426,2723,1811
0.7000000000000002,0.6385751520417029,0.415332454322848,0.5033097466331887,0.9332298967417474,0.6742811755322977,16768,3104,1248
0.7500000000000002,0.6742817583939079,0.3669240911659446,0.4752378628933886,0.9496549141297952,0.6582895026478699,17746,3361,941
0.8000000000000002,0.7118270079435128,0.3038236956112262,0.4258745874587459,0.9650633994970842,0.6344435475541552,19133,3696,653
0.8500000000000002,0.7547540983606558,0.2168016575626295,0.3368451858355282,0.9799903696966454,0.5983960136296375,21164,4158,374
0.9000000000000002,0.8041237113402062,0.0734601619890751,0.1346220227821884,0.9949173398962068,0.534188750942641,24690,4919,95
