model_name,accuracy,balanced_accuracy,precision_class_1,recall_class_1,f1_class_1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,business_cost_illustrative
Tuned_RF_Weighted,0.7615,0.7093,0.4701,0.6157,0.5331,0.7765,0.5544,3752,921,510,817,3471
M2_LR_Weighted,0.7408,0.6917,0.4377,0.6036,0.5074,0.7447,0.4988,3644,1029,526,801,3659
Tuned_LR_Weighted,0.7408,0.6917,0.4377,0.6036,0.5074,0.7447,0.4988,3644,1029,526,801,3659
M5_SMOTE_LR,0.7415,0.6897,0.4381,0.5968,0.5053,0.7431,0.5,3657,1016,535,792,3691
M6_SMOTE_RF,0.7902,0.6797,0.5281,0.4815,0.5037,0.7481,0.5145,4102,571,688,639,4011
M4_RF_Weighted,0.7912,0.679,0.531,0.4778,0.503,0.7604,0.5233,4113,560,693,634,4025
M3_DT_Weighted,0.7337,0.6091,0.3954,0.3858,0.3905,0.6089,0.2878,3890,783,815,512,4858
M1_LR_Baseline,0.8075,0.6247,0.6396,0.2969,0.4056,0.7421,0.5046,4451,222,933,394,4887
